Course Code,Course Title
PHY102,Physics Lab
SUR102,Survey Lab
BUI102,Building Materials Lab
FLM102,Fluid Mechanics Lab
CON101,Concrete Lab
WAT102,Water Lab
GEO102,Geotechnical Lab
CON103,Construction Lab
HIG102,Highway Lab
SOI102,Soil Testing Lab
BRI102,Bridge Lab
DEV101,Development Lab
CON104,Concrete Tech Lab
DES102,Design Lab
PRO102,Project Lab
INT102,Internship Lab
PHY104,Physics Lab
WSH103,Workshop Lab
ELE104,Electrical Lab
PGL101,Programming Lab
OOP102,OOP Lab
DBM102,DBMS Lab
OSL101,OS Lab
NET101,Networks Lab
AIL101,AI Lab
MLL101,ML Lab
CLO101,Cloud Lab
SEC101,Security Lab
BIG102,Big Data Lab
DAT104,Data Science Lab
PRO104,Project Lab
INT104,Internship Lab
PHY106,Physics Lab
ELE109,Electronics Lab
NET103,Network Lab
DIG102,Digital Electronics Lab
PWS102,Power Systems Lab
POW102,Power Electronics Lab
MIC101,Microprocessor Lab
DRI101,Drives Lab
REE102,Renewable Energy Lab
EMS102,Embedded Systems Lab
DSP101,DSP Lab
CON107,Controls Lab
ENE102,Energy Lab
PRO107,Project Lab
INT106,Internship Lab
PHY108,Physics Lab
ELE117,Electronics Lab
LOG101,Logic Lab
DIG104,Digital Lab
MIC102,Microprocessor Lab
COM105,Communication Lab
EMS104,Embedded Systems Lab
SIP104,Signal Processing Lab
IMP102,Image Processing Lab
NAN102,Nano Lab
IOT102,IoT Lab
MLL102,ML Lab
VLS105,VLSI Lab
BIO102,Biomedical Lab
PRO109,Project Lab
INT108,Internship Lab
PHY110,Physics Lab
THD102,Thermodynamics Lab
MAT119,Materials Lab
FLM104,Fluid Mechanics Lab
MCD102,Machine Design Lab
ICE102,IC Engines Lab
AUT102,Automation Lab
CAD102,CAD Lab
ROB102,Robotics Lab
AUT103,Automobile Lab
ENE103,Energy Lab
THE103,Thermal Lab
VIB102,Vibration Lab
PRO112,Project Lab
INT110,Internship Lab
