Course Code,Course Title
EDR101,Engineering Drawing
MAT101,M1
PHY101,Physics
CHE101,Chemistry
PHY102,Physics Lab
BUI101,Building Materials
MAT103,Mathematics II
ENV101,Environmental Science
SOI101,Soil Mechanics
CON101,Concrete Lab
DES101,Design of Structures
WAT102,Water Lab
SUR103,Advanced Surveying
EAR101,Earthquake Eng.
HIG101,Highway Engineering
HIG102,Highway Lab
SOI102,Soil Testing Lab
BRI102,Bridge Lab
DEV101,Development Lab
ADV101,Advanced Concrete Tech.
ADV102,Advanced Structural Design
DIS101,Disaster Management
PRE101,Professional Ethics
CON104,Concrete Tech Lab
DES102,Design Lab
ELE101,Elective 1
ELE102,Elective 2
PPS101,PPS
BEE101,BEE
MAT104,M1
WSH102,Workshop
PHY104,Physics Lab
WSH103,Workshop Lab
SUB101,CP
SUB102,DS
MAT105,M2
ELE103,Electrical Basics
MAT106,Mathematics II
ELE104,Electrical Lab
DBM101,DBMS
SOF101,Software Design
DAT101,Data Structures
COM101,Computer Organization
OOP102,OOP Lab
ALG101,Algorithms
OSL101,OS Lab
TOC101,TOC
AI101,Artificial Intelligence
ML101,Machine Learning
DAT102,Data Mining
MLL101,ML Lab
CLC101,Cloud Computing
CLO101,Cloud Lab
SUB108,MP
BIG101,Big Data
BIG102,Big Data Lab
PRO103,Project
ELE105,Elective 1
ELE106,Elective 2
PRO104,Project Lab
PHY106,Physics Lab
WSH104,Electrical Workshop
ELE108,Electronic Devices
MAT109,M2
MAT110,Mathematics II
ELE109,Electronics Lab
NET103,Network Lab
ELE110,Electromagnetic Fields
ELE111,Electrical Machines
PWS101,Power Systems
COM103,Communication Systems
MIC101,Microprocessor Lab
ELE112,Electric Drives
SWI101,Switchgear & Protection
DRI101,Drives Lab
REE102,Renewable Energy Lab
ADV103,Advanced Controls
POW104,Power System Protection
ELE113,Electric Vehicle Technology
ENE101,Energy Management
PRE103,Professional Ethics
PRO106,Project
SEM102,Seminar
INT106,Internship Lab
ELE116,Electronic Devices
MAT111,M1
PHY107,Physics
MAT112,Mathematics I
PHY108,Physics Lab
ELE117,Electronics Lab
DIG104,Digital Lab
COM104,Communication Theory
CON108,Control Systems
VLS102,VLSI Design
EMS103,Embedded Systems
SIP103,Digital Signal Processing
SAT101,Satellite Communication
OPT101,Optical Communication
EMS104,Embedded Systems Lab
IMP101,Image Processing
WIR102,Wireless Networks
NAN101,Nano Electronics
PRM102,Project Management
ADV104,Advanced Communication
ML102,Machine Learning
NAN103,Nanotechnology
WIR103,Wireless Sensor Networks
PRO108,Project
INT107,Internship
ELE118,Elective 1
SEM103,Seminar
PRO109,Project Lab
ENG101,Engineering Graphics
MAT115,M1
MAT116,Mathematics I
PHY110,Physics Lab
THD101,Thermodynamics
STR103,Strength of Materials
CHE104,Chemistry
MAT118,Mathematics II
MAT119,Materials Lab
FLM103,Fluid Mechanics
MCD101,Machine Design
HTR101,Heat Transfer
DOM101,Dynamics of Machines
FLM104,Fluid Mechanics Lab
FEA101,Finite Element Analysis
CAD101,CAD/CAM
CAD102,CAD Lab
ROB102,Robotics Lab
HVA101,HVAC
REE103,Renewable Energy
AUT103,Automobile Lab
ENE103,Energy Lab
THE102,Thermal Engineering
VIB101,Vibration Analysis
SUE102,Sustainable Engineering
THE103,Thermal Lab
SEM104,Seminar
PRO112,Project Lab
