Course Code,Course Title
EDR101,Engineering Drawing
MAT101,M1
PHY101,Physics
CHE101,Chemistry
PHY102,Physics Lab
BUI101,Building Materials
MAT103,Mathematics II
ENV101,Environmental Science
SOI101,Soil Mechanics
CON101,Concrete Lab
DES101,Design of Structures
WAT102,Water Lab
SUR103,Advanced Surveying
EAR101,Earthquake Eng.
HIG101,Highway Engineering
HIG102,Highway Lab
SOI102,Soil Testing Lab
BRI102,Bridge Lab
DEV101,Development Lab
ADV101,Advanced Concrete Tech.
ADV102,Advanced Structural Design
DIS101,Disaster Management
PRE101,Professional Ethics
CON104,Concrete Tech Lab
DES102,Design Lab
ELE101,Elective 1
ELE102,Elective 2
