Course Code,Course Title
CIR102,Circuit Theory
ANA101,Analog Electronics
DIG103,Digital Logic
MAT113,M2
MAT114,Mathematics II
CHE103,Chemistry
LOG101,Logic Lab
MPR102,Microprocessors
SIG101,Signals & Systems
MIC102,Microprocessor Lab
COM105,Communication Lab
RFE101,RF Engineering
SIP104,Signal Processing Lab
VLS103,VLSI Testing
IMP102,Image Processing Lab
NAN102,Nano Lab
IOT101,IoT
CYS102,Cyber Security
RES101,Research Project
IOT102,IoT Lab
MLL102,ML Lab
VLS104,Advanced VLSI Design
BIO101,Biomedical Electronics
PRE104,Professional Ethics
VLS105,VLSI Lab
BIO102,Biomedical Lab
ELE119,Elective 2
INT108,Internship Lab
