Course Code,Course Title,Credits
EDR101,Engineering Drawing,4
MAT101,M1,4
PHY101,Physics,4
CHE101,Chemistry,4
PHY102,Physics Lab,4
BUI101,Building Materials,4
MAT103,Mathematics II,4
ENV101,Environmental Science,4
SOI101,Soil Mechanics,4
CON101,Concrete Lab,4
DES101,Design of Structures,4
WAT102,Water Lab,4
SUR103,Advanced Surveying,4
EAR101,Earthquake Eng.,4
HIG101,Highway Engineering,4
HIG102,Highway Lab,4
SOI102,Soil Testing Lab,4
BRI102,Bridge Lab,4
DEV101,Development Lab,4
ADV101,Advanced Concrete Tech.,4
ADV102,Advanced Structural Design,4
DIS101,Disaster Management,4
PRE101,Professional Ethics,4
CON104,Concrete Tech Lab,4
DES102,Design Lab,4
ELE101,Elective 1,4
ELE102,Elective 2,4
PPS101,PPS,4
BEE101,BEE,4
MAT104,M1,4
WSH102,Workshop,4
PHY104,Physics Lab,4
WSH103,Workshop Lab,4
SUB101,CP,4
SUB102,DS,4
MAT105,M2,4
ELE103,Electrical Basics,4
MAT106,Mathematics II,4
ELE104,Electrical Lab,4
DBM101,DBMS,4
SOF101,Software Design,4
DAT101,Data Structures,4
COM101,Computer Organization,4
OOP102,OOP Lab,4
ALG101,Algorithms,4
OSL101,OS Lab,4
TOC101,TOC,4
AI101,Artificial Intelligence,4
ML101,Machine Learning,4
DAT102,Data Mining,4
MLL101,ML Lab,4
CLC101,Cloud Computing,4
CLO101,Cloud Lab,4
SUB108,MP,4
BIG101,Big Data,4
BIG102,Big Data Lab,4
PRO103,Project,4
ELE105,Elective 1,4
ELE106,Elective 2,4
PRO104,Project Lab,4
PHY106,Physics Lab,4
WSH104,Electrical Workshop,4
ELE108,Electronic Devices,4
MAT109,M2,4
MAT110,Mathematics II,4
ELE109,Electronics Lab,4
NET103,Network Lab,4
ELE110,Electromagnetic Fields,4
ELE111,Electrical Machines,4
PWS101,Power Systems,4
COM103,Communication Systems,4
MIC101,Microprocessor Lab,4
ELE112,Electric Drives,4
SWI101,Switchgear & Protection,4
DRI101,Drives Lab,4
REE102,Renewable Energy Lab,4
ADV103,Advanced Controls,4
POW104,Power System Protection,4
ELE113,Electric Vehicle Technology,4
ENE101,Energy Management,4
PRE103,Professional Ethics,4
PRO106,Project,4
SEM102,Seminar,4
INT106,Internship Lab,4
ELE116,Electronic Devices,4
MAT111,M1,4
PHY107,Physics,4
MAT112,Mathematics I,4
PHY108,Physics Lab,4
ELE117,Electronics Lab,4
DIG104,Digital Lab,4
COM104,Communication Theory,4
CON108,Control Systems,4
VLS102,VLSI Design,4
EMS103,Embedded Systems,4
SIP103,Digital Signal Processing,4
SAT101,Satellite Communication,4
OPT101,Optical Communication,4
EMS104,Embedded Systems Lab,4
IMP101,Image Processing,4
WIR102,Wireless Networks,4
NAN101,Nano Electronics,4
PRM102,Project Management,4
ADV104,Advanced Communication,4
ML102,Machine Learning,4
NAN103,Nanotechnology,4
WIR103,Wireless Sensor Networks,4
PRO108,Project,4
INT107,Internship,4
ELE118,Elective 1,4
SEM103,Seminar,4
PRO109,Project Lab,4
ENG101,Engineering Graphics,4
MAT115,M1,4
MAT116,Mathematics I,4
PHY110,Physics Lab,4
THD101,Thermodynamics,4
STR103,Strength of Materials,4
CHE104,Chemistry,4
MAT118,Mathematics II,4
MAT119,Materials Lab,4
FLM103,Fluid Mechanics,4
MCD101,Machine Design,4
HTR101,Heat Transfer,4
DOM101,Dynamics of Machines,4
FLM104,Fluid Mechanics Lab,4
FEA101,Finite Element Analysis,4
CAD101,CAD/CAM,4
CAD102,CAD Lab,4
ROB102,Robotics Lab,4
HVA101,HVAC,4
REE103,Renewable Energy,4
AUT103,Automobile Lab,4
ENE103,Energy Lab,4
THE102,Thermal Engineering,4
VIB101,Vibration Analysis,4
SUE102,Sustainable Engineering,4
THE103,Thermal Lab,4
SEM104,Seminar,4
PRO112,Project Lab,4
