Course Code,Course Title,Credits
ENG101,Engineering Graphics,4
WSH105,Workshop Technology,3
MAT115,M1,4
PHY109,Physics,3
MAT116,Mathematics I,4
PHY110,Physics Lab,4
WSH106,Mechanical Workshop,3
THD101,Thermodynamics,4
STR103,Strength of Materials,4
MAT117,M2,3
CHE104,Chemistry,4
MAT118,Mathematics II,4
THD102,Thermodynamics Lab,3
MAT119,Materials Lab,4
FLM103,Fluid Mechanics,4
MCD101,Machine Design,4
MAN101,Manufacturing Processes,3
HTR101,Heat Transfer,4
DOM101,Dynamics of Machines,4
FLM104,Fluid Mechanics Lab,4
MCD102,Machine Design Lab,3
ICE101,IC Engines,3
RFR101,Refrigeration,3
INE101,Industrial Engineering,3
AUT101,Automation,3
FEA101,Finite Element Analysis,4
ICE102,IC Engines Lab,3
AUT102,Automation Lab,3
CAD101,CAD/CAM,4
MEC101,Mechatronics,3
ROB101,Robotics,3
MAT120,Material Science,3
PRM103,Project Management,3
CAD102,CAD Lab,4
ROB102,Robotics Lab,4
ADM101,Advanced Manufacturing,3
AUE101,Automobile Engineering,3
HVA101,HVAC,4
REE103,Renewable Energy,4
RES102,Research Project,3
AUT103,Automobile Lab,4
ENE103,Energy Lab,4
THE102,Thermal Engineering,4
VIB101,Vibration Analysis,4
PRO110,Production Planning,3
SUE102,Sustainable Engineering,4
PRE105,Professional Ethics,3
THE103,Thermal Lab,4
VIB102,Vibration Lab,3
PRO111,Project,3
INT109,Internship,3
ELE120,Elective 1,3
ELE121,Elective 2,3
SEM104,Seminar,4
PRO112,Project Lab,4
INT110,Internship Lab,3
